"Estado","menosde1","de1a4","de5a9","de10a14","de15a19","de20a24","de25a44","de45a49","de50a59","de60a64","masde65","Ign.","Año","Sexo"
"Aguascalientes",0,0,0,0,0,36,547,327,641,286,407,4,"2003","MUJER"
"Baja California",0,0,0,2,23,99,1614,851,2047,920,1427,7,"2003","MUJER"
"Baja California Sur",0,0,0,0,3,16,319,174,340,130,289,0,"2003","MUJER"
"Campeche",0,0,1,2,2,30,479,227,413,169,250,3,"2003","MUJER"
"Coahuila",0,11,5,14,40,105,2148,1224,2800,1249,1923,9,"2003","MUJER"
"Colima",0,0,0,0,1,6,208,139,253,108,152,3,"2003","MUJER"
"Chiapas",5,6,8,6,20,57,1671,1157,2278,991,1534,20,"2003","MUJER"
"Chihuahua",1,4,8,11,36,130,1694,1037,2584,1091,1817,7,"2003","MUJER"
"Distrito Federal",0,0,0,2,13,166,4631,3737,7125,3875,6444,123,"2003","MUJER"
"Durango",0,0,0,0,0,39,1281,860,2059,989,1813,8,"2003","MUJER"
"Guanajuato",0,0,0,2,13,171,2307,1342,3021,1333,2386,18,"2003","MUJER"
"Guerrero",1,0,3,6,16,60,1969,1356,2557,1210,2055,7,"2003","MUJER"
"Hidalgo",0,0,0,2,13,25,830,460,994,376,775,0,"2003","MUJER"
"Jalisco",1,0,5,6,32,98,2992,2029,5122,2543,4362,177,"2003","MUJER"
"México",11,10,13,18,54,231,4915,3652,6467,3309,4733,139,"2003","MUJER"
"Michoacán",0,0,1,1,9,51,1300,865,1959,931,1609,7,"2003","MUJER"
"Morelos",0,0,0,0,2,11,974,913,1733,1003,1130,27,"2003","MUJER"
"Nayarit",0,0,0,4,11,24,400,340,698,335,621,3,"2003","MUJER"
"Nuevo León",10,15,11,17,35,124,1841,1336,2496,1292,1943,73,"2003","MUJER"
"Oaxaca",0,0,0,3,6,103,1329,959,1471,625,863,3,"2003","MUJER"
"Puebla",5,4,3,11,38,130,1746,1395,2673,1357,2518,113,"2003","MUJER"
"Querétaro",0,0,0,0,0,34,873,470,912,336,524,1,"2003","MUJER"
"Quintana Roo",0,0,0,0,0,8,331,218,289,122,148,0,"2003","MUJER"
"San Luis Potosí",0,1,1,5,8,69,1503,815,1934,825,1359,7,"2003","MUJER"
"Sinaloa",0,3,1,10,2,38,911,794,1842,1068,1594,15,"2003","MUJER"
"Sonora",2,3,1,8,11,61,1219,921,1725,705,1124,1,"2003","MUJER"
"Tabasco",2,2,4,3,16,56,1211,678,1291,502,774,26,"2003","MUJER"
"Tamaulipas",0,0,2,1,2,37,1975,1096,2509,1072,1666,8,"2003","MUJER"
"Tlaxcala",0,0,0,0,2,19,403,235,476,215,401,4,"2003","MUJER"
"Veracruz",0,0,0,1,8,68,2863,1749,3427,1456,2315,25,"2003","MUJER"
"Yucatán",0,1,0,1,4,8,1043,611,1624,746,1265,9,"2003","MUJER"
"Zacatecas",0,0,0,0,0,19,611,376,879,353,591,10,"2003","MUJER"
"Aguascalientes",0,0,0,0,0,15,625,369,671,281,405,53,"2004","MUJER"
"Baja California",0,2,7,11,32,110,1701,825,2271,986,1500,11,"2004","MUJER"
"Baja California Sur",0,0,0,1,6,14,309,175,349,160,229,2,"2004","MUJER"
"Campeche",0,0,0,0,3,27,436,228,485,198,220,0,"2004","MUJER"
"Coahuila",5,5,3,2,13,87,2205,1367,3107,1411,2135,13,"2004","MUJER"
"Colima",0,0,0,0,0,7,263,140,321,137,187,2,"2004","MUJER"
"Chiapas",4,6,4,3,30,62,1665,1233,2376,1123,1554,13,"2004","MUJER"
"Chihuahua",0,1,0,0,12,91,1838,986,2913,1240,2144,6,"2004","MUJER"
"Distrito Federal",0,0,1,2,40,154,4297,3336,6898,3422,6026,43,"2004","MUJER"
"Durango",0,0,0,0,0,27,1227,813,1857,902,1378,14,"2004","MUJER"
"Guanajuato",0,0,0,3,10,96,2494,1482,3564,1680,2631,7,"2004","MUJER"
"Guerrero",0,0,0,1,6,58,2041,1341,2596,1130,1880,59,"2004","MUJER"
"Hidalgo",0,0,0,0,2,20,788,551,914,460,728,1,"2004","MUJER"
"Jalisco",11,5,8,19,34,127,3842,2392,6421,3226,5858,237,"2004","MUJER"
"México",5,7,7,19,36,229,5521,3926,7722,4118,5566,65,"2004","MUJER"
"Michoacán",0,1,0,7,12,36,1107,719,1676,872,1393,7,"2004","MUJER"
"Morelos",0,0,1,0,7,18,1086,931,1777,920,1371,140,"2004","MUJER"
"Nayarit",0,0,0,0,6,9,398,308,774,390,742,3,"2004","MUJER"
"Nuevo León",5,10,6,14,26,126,1935,1167,2336,1115,1779,53,"2004","MUJER"
"Oaxaca",0,0,2,1,5,88,1402,942,1579,780,897,6,"2004","MUJER"
"Puebla",1,4,2,8,23,100,2006,1604,3374,1751,3155,52,"2004","MUJER"
"Querétaro",0,0,0,0,1,22,900,529,988,387,639,3,"2004","MUJER"
"Quintana Roo",0,0,0,0,1,21,319,180,240,101,90,1,"2004","MUJER"
"San Luis Potosí",0,0,0,0,3,58,1567,958,1934,864,1394,16,"2004","MUJER"
"Sinaloa",0,0,0,0,1,51,1093,1014,2269,1123,1851,7,"2004","MUJER"
"Sonora",0,0,0,0,15,58,1563,1021,2038,864,1229,6,"2004","MUJER"
"Tabasco",0,0,4,5,9,78,1266,691,1215,465,680,4,"2004","MUJER"
"Tamaulipas",16,42,20,22,17,67,2118,1164,2605,1119,1908,8,"2004","MUJER"
"Tlaxcala",0,0,0,1,4,15,443,260,502,242,362,0,"2004","MUJER"
"Veracruz",2,2,4,6,15,84,2830,1645,3373,1402,1917,16,"2004","MUJER"
"Yucatán",0,0,0,2,7,22,1156,718,1825,806,1294,4,"2004","MUJER"
"Zacatecas",0,0,0,0,0,36,707,352,826,355,590,2,"2004","MUJER"
"Aguascalientes",0,0,0,0,4,1,29,23,32,19,28,1,"2005","MUJER"
"Baja California",2,1,24,42,63,10,9,1,8,29,3,4,"2005","MUJER"
"Baja California Sur",0,1,0,0,4,5,21,15,19,10,18,0,"2005","MUJER"
"Campeche",1,1,4,3,3,17,28,22,27,12,20,1,"2005","MUJER"
"Coahuila",0,3,4,8,18,4,15,10,17,7,15,4,"2005","MUJER"
"Colima",0,0,0,0,0,1,18,14,23,11,21,1,"2005","MUJER"
"Chiapas",1,6,7,11,19,22,11,9,15,4,11,12,"2005","MUJER"
"Chihuahua",6,4,3,3,9,29,8,31,13,2,13,21,"2005","MUJER"
"Distrito Federal",0,0,0,1,27,13,22,17,25,15,26,10,"2005","MUJER"
"Durango",0,0,0,0,0,20,6,5,9,5,12,2,"2005","MUJER"
"Guanajuato",0,0,0,0,8,29,16,11,21,8,19,50,"2005","MUJER"
"Guerrero",0,0,1,1,12,23,13,8,16,1,16,15,"2005","MUJER"
"Hidalgo",0,0,1,0,3,12,31,26,1,22,33,0,"2005","MUJER"
"Jalisco",10,7,8,27,39,27,20,16,24,14,25,115,"2005","MUJER"
"México",1,5,9,17,42,14,25,25,28,20,27,26,"2005","MUJER"
"Michoacán",0,0,0,2,14,15,1,28,4,24,6,8,"2005","MUJER"
"Morelos",0,0,1,2,1,16,3,32,5,26,5,10,"2005","MUJER"
"Nayarit",0,0,0,1,7,8,23,21,31,18,32,0,"2005","MUJER"
"Nuevo León",1,2,3,7,22,30,10,6,12,31,10,61,"2005","MUJER"
"Oaxaca",0,0,0,0,2,3,8,7,7,28,2,10,"2005","MUJER"
"Puebla",1,1,0,10,28,2,14,12,22,9,22,30,"2005","MUJER"
"Querétaro",0,0,0,0,3,6,30,24,32,16,30,0,"2005","MUJER"
"Quintana Roo",0,0,0,0,1,28,19,15,18,10,17,0,"2005","MUJER"
"San Luis Potosí",0,0,0,0,9,25,7,2,10,30,8,8,"2005","MUJER"
"Sinaloa",1,0,2,6,10,26,2,3,14,3,9,49,"2005","MUJER"
"Sonora",1,0,0,0,12,19,5,30,6,25,4,19,"2005","MUJER"
"Tabasco",4,1,5,4,9,24,4,29,2,21,31,6,"2005","MUJER"
"Tamaulipas",1,5,2,3,17,21,12,4,11,27,7,10,"2005","MUJER"
"Tlaxcala",0,1,0,0,2,7,24,20,26,13,23,5,"2005","MUJER"
"Veracruz",0,0,2,7,19,31,17,13,20,6,14,18,"2005","MUJER"
"Yucatán",0,0,2,9,7,18,32,27,3,23,1,5,"2005","MUJER"
"Zacatecas",0,0,0,0,1,9,27,18,30,16,24,4,"2005","MUJER"
"Aguascalientes",0,0,0,0,5,14,30,25,32,21,25,0,"2006","MUJER"
"Baja California",0,2,9,16,38,8,14,4,12,2,4,22,"2006","MUJER"
"Baja California Sur",0,0,1,2,8,10,22,14,21,10,17,0,"2006","MUJER"
"Campeche",0,0,0,0,2,6,26,17,23,12,18,1,"2006","MUJER"
"Coahuila",0,0,0,2,13,25,13,9,16,6,15,12,"2006","MUJER"
"Colima",0,0,0,0,0,1,18,13,22,11,22,0,"2006","MUJER"
"Chiapas",1,1,2,2,10,20,9,2,8,27,5,19,"2006","MUJER"
"Chihuahua",0,0,1,1,11,22,10,1,13,3,14,16,"2006","MUJER"
"Distrito Federal",0,0,1,6,34,13,23,18,26,17,28,7,"2006","MUJER"
"Durango",0,0,0,0,0,17,1,28,3,26,2,5,"2006","MUJER"
"Guanajuato",0,0,0,5,9,4,17,11,19,9,20,5,"2006","MUJER"
"Guerrero",1,1,1,4,12,24,12,6,10,33,12,14,"2006","MUJER"
"Hidalgo",0,0,0,1,6,12,32,26,33,23,33,2,"2006","MUJER"
"Jalisco",15,22,27,40,88,11,20,16,25,13,27,88,"2006","MUJER"
"México",1,1,5,15,44,15,27,24,31,18,29,145,"2006","MUJER"
"Michoacán",0,0,0,5,11,16,5,31,6,32,13,3,"2006","MUJER"
"Morelos",0,0,1,1,4,23,3,33,5,31,8,23,"2006","MUJER"
"Nayarit",0,0,0,0,6,7,25,20,27,20,31,3,"2006","MUJER"
"Nuevo León",1,0,4,6,30,5,16,7,11,1,9,31,"2006","MUJER"
"Oaxaca",0,1,1,1,11,28,11,5,9,29,7,7,"2006","MUJER"
"Puebla",0,1,1,14,34,23,15,10,18,8,21,4,"2006","MUJER"
"Querétaro",0,0,0,0,1,2,31,22,30,15,26,0,"2006","MUJER"
"Quintana Roo",0,0,0,0,0,2,21,15,17,30,16,1,"2006","MUJER"
"San Luis Potosí",0,0,0,1,10,18,7,32,7,28,6,116,"2006","MUJER"
"Sinaloa",0,1,4,12,16,21,8,3,14,5,11,11,"2006","MUJER"
"Sonora",0,0,1,0,2,6,4,27,2,24,1,1,"2006","MUJER"
"Tabasco",1,1,4,2,10,19,6,29,1,22,32,4,"2006","MUJER"
"Tamaulipas",3,6,7,5,12,26,16,8,15,4,10,18,"2006","MUJER"
"Tlaxcala",0,0,0,1,0,27,24,19,24,14,23,4,"2006","MUJER"
"Veracruz",0,1,0,1,15,3,19,12,20,7,19,9,"2006","MUJER"
"Yucatán",0,0,1,5,10,12,2,30,4,25,3,11,"2006","MUJER"
"Zacatecas",0,0,0,1,0,6,29,23,29,16,24,2,"2006","MUJER"
"Aguascalientes",1,0,1,0,4,16,30,23,28,17,22,4,"2007","MUJER"
"Baja California",0,2,3,6,27,27,10,32,8,30,2,34,"2007","MUJER"
"Baja California Sur",0,0,1,1,9,10,24,14,20,12,15,2,"2007","MUJER"
"Campeche",0,0,1,0,4,6,26,18,24,14,20,1,"2007","MUJER"
"Coahuila",0,3,4,4,15,26,12,2,13,7,7,5,"2007","MUJER"
"Colima",0,0,0,0,0,1,19,13,23,13,21,0,"2007","MUJER"
"Chiapas",3,3,4,9,18,23,11,6,12,33,8,14,"2007","MUJER"
"Chihuahua",1,2,3,0,14,28,18,4,17,5,11,10,"2007","MUJER"
"Distrito Federal",0,0,0,1,17,8,23,20,29,20,23,4,"2007","MUJER"
"Durango",0,0,0,0,0,18,1,26,2,26,33,0,"2007","MUJER"
"Guanajuato",0,0,0,3,8,29,17,3,14,3,13,3,"2007","MUJER"
"Guerrero",0,3,1,0,8,21,14,8,11,1,10,6,"2007","MUJER"
"Hidalgo",0,0,0,1,9,12,33,27,1,25,31,1,"2007","MUJER"
"Jalisco",10,6,13,28,78,11,21,15,25,15,27,52,"2007","MUJER"
"México",3,9,3,13,74,13,28,24,33,23,30,48,"2007","MUJER"
"Michoacán",0,0,2,4,14,23,4,33,9,2,16,20,"2007","MUJER"
"Morelos",0,1,0,0,5,15,6,1,7,31,6,23,"2007","MUJER"
"Nayarit",0,0,0,0,1,17,22,19,26,22,29,7,"2007","MUJER"
"Nuevo León",0,4,3,8,31,4,15,9,16,8,12,73,"2007","MUJER"
"Oaxaca",0,1,0,2,10,24,9,5,10,32,5,8,"2007","MUJER"
"Puebla",0,2,2,8,21,25,13,10,19,9,18,14,"2007","MUJER"
"Querétaro",0,0,0,0,1,10,32,25,30,18,24,0,"2007","MUJER"
"Quintana Roo",0,0,0,0,4,7,27,16,22,11,14,2,"2007","MUJER"
"San Luis Potosí",0,0,0,0,5,14,8,31,6,29,3,0,"2007","MUJER"
"Sinaloa",0,4,0,0,11,20,7,7,18,6,17,3,"2007","MUJER"
"Sonora",0,5,1,0,8,19,2,29,4,27,1,0,"2007","MUJER"
"Tabasco",0,0,0,6,16,22,5,30,3,24,32,3,"2007","MUJER"
"Tamaulipas",0,0,4,8,12,21,16,11,15,4,9,6,"2007","MUJER"
"Tlaxcala",0,0,1,0,8,2,25,17,27,16,26,2,"2007","MUJER"
"Veracruz",0,1,2,6,27,3,20,12,21,10,19,8,"2007","MUJER"
"Yucatán",1,0,3,3,11,7,3,28,5,28,4,12,"2007","MUJER"
"Zacatecas",0,0,0,0,0,5,31,22,32,19,25,3,"2007","MUJER"
"Aguascalientes",0,0,0,0,2,13,31,23,28,17,21,0,"2008","MUJER"
"Baja California",0,2,2,11,24,3,11,32,12,31,2,18,"2008","MUJER"
"Baja California Sur",0,0,0,1,2,12,25,14,23,11,14,0,"2008","MUJER"
"Campeche",3,5,2,1,7,8,24,12,18,9,13,0,"2008","MUJER"
"Coahuila",0,0,7,14,19,25,10,1,13,3,8,12,"2008","MUJER"
"Colima",0,0,0,0,1,1,19,13,21,12,20,0,"2008","MUJER"
"Chiapas",0,1,1,6,14,22,7,5,11,27,5,17,"2008","MUJER"
"Chihuahua",0,1,1,1,13,27,18,6,20,4,15,2,"2008","MUJER"
"Distrito Federal",0,0,0,0,28,10,22,18,27,14,22,3,"2008","MUJER"
"Durango",0,0,0,0,0,17,33,25,2,23,30,0,"2008","MUJER"
"Guanajuato",0,0,0,3,18,29,17,10,16,5,12,44,"2008","MUJER"
"Guerrero",0,1,0,4,13,25,14,4,14,33,10,52,"2008","MUJER"
"Hidalgo",0,1,1,0,16,18,1,26,1,24,32,0,"2008","MUJER"
"Jalisco",12,7,15,39,80,9,21,15,25,13,23,63,"2008","MUJER"
"México",6,4,18,19,90,15,27,24,33,21,29,44,"2008","MUJER"
"Michoacán",0,0,1,0,5,23,5,33,8,1,11,26,"2008","MUJER"
"Morelos",0,1,5,5,6,24,4,30,7,32,7,16,"2008","MUJER"
"Nayarit",0,0,0,0,3,12,23,16,26,16,28,1,"2008","MUJER"
"Nuevo León",0,1,1,17,39,4,16,7,15,2,9,30,"2008","MUJER"
"Oaxaca",0,2,0,4,18,27,12,3,9,29,6,10,"2008","MUJER"
"Puebla",0,1,0,6,20,26,15,9,19,8,18,8,"2008","MUJER"
"Querétaro",0,0,0,0,0,2,32,22,32,15,24,0,"2008","MUJER"
"Quintana Roo",0,0,0,0,1,7,29,17,24,10,19,1,"2008","MUJER"
"San Luis Potosí",0,0,0,0,3,22,9,31,5,26,3,0,"2008","MUJER"
"Sinaloa",2,1,2,5,16,28,8,8,17,6,16,10,"2008","MUJER"
"Sonora",2,0,2,3,10,21,2,28,4,25,1,9,"2008","MUJER"
"Tabasco",0,0,2,3,13,20,6,29,3,22,31,7,"2008","MUJER"
"Tamaulipas",4,0,1,3,7,19,13,2,10,30,4,8,"2008","MUJER"
"Tlaxcala",0,0,0,0,2,6,26,19,30,18,27,4,"2008","MUJER"
"Veracruz",0,0,3,2,28,5,20,11,22,7,17,7,"2008","MUJER"
"Yucatán",0,0,0,1,3,16,3,27,6,28,5,1,"2008","MUJER"
"Zacatecas",0,0,0,0,0,14,30,21,31,20,26,4,"2008","MUJER"
"Aguascalientes",0,0,0,0,0,0,26,19,30,16,22,0,"2009","MUJER"
"Baja California",0,1,5,11,23,135,9,32,9,32,5,53,"2009","MUJER"
"Baja California Sur",1,0,0,2,4,19,21,13,22,10,14,0,"2009","MUJER"
"Campeche",1,0,0,1,4,11,22,18,24,12,15,48,"2009","MUJER"
"Coahuila",0,0,4,5,14,115,13,8,15,7,11,154,"2009","MUJER"
"Colima",0,0,0,0,1,3,17,14,21,11,16,0,"2009","MUJER"
"Chiapas",0,0,0,1,15,52,7,3,10,27,3,70,"2009","MUJER"
"Chihuahua",0,1,0,4,12,101,16,11,20,5,18,2,"2009","MUJER"
"Distrito Federal",0,0,0,2,40,177,20,16,26,15,23,164,"2009","MUJER"
"Durango",0,0,0,0,0,19,31,26,1,23,33,0,"2009","MUJER"
"Guanajuato",0,0,0,0,18,119,14,9,19,6,17,0,"2009","MUJER"
"Guerrero",0,0,4,1,14,61,10,2,12,31,9,59,"2009","MUJER"
"Hidalgo",0,1,1,2,18,38,32,29,2,26,32,3,"2009","MUJER"
"Jalisco",6,3,9,21,59,119,19,15,25,14,24,17,"2009","MUJER"
"México",0,0,0,0,0,394,28,25,7,22,30,80,"2009","MUJER"
"Michoacán",0,1,0,1,7,64,5,1,13,4,13,22,"2009","MUJER"
"Morelos",0,2,4,11,8,31,3,31,8,33,8,12,"2009","MUJER"
"Nayarit",0,0,1,1,3,23,23,17,27,17,28,0,"2009","MUJER"
"Nuevo León",0,1,3,8,25,123,15,10,18,3,10,37,"2009","MUJER"
"Oaxaca",1,0,1,3,20,63,11,6,11,30,6,5,"2009","MUJER"
"Puebla",0,0,0,2,17,45,12,7,17,8,19,1,"2009","MUJER"
"Querétaro",0,0,1,0,0,4,30,23,33,19,29,0,"2009","MUJER"
"Quintana Roo",0,0,2,0,2,20,27,22,28,13,21,0,"2009","MUJER"
"San Luis Potosí",0,0,2,0,1,90,8,33,6,28,4,0,"2009","MUJER"
"Sinaloa",0,0,0,0,17,87,6,5,16,2,12,52,"2009","MUJER"
"Sonora",0,0,0,0,0,50,2,27,4,25,1,162,"2009","MUJER"
"Tabasco",0,3,3,3,18,59,4,30,3,24,31,3,"2009","MUJER"
"Tamaulipas",0,0,0,2,24,52,12,4,14,1,7,0,"2009","MUJER"
"Tlaxcala",0,0,0,2,1,11,24,20,29,18,26,1,"2009","MUJER"
"Veracruz",0,3,5,4,21,112,18,12,23,9,20,180,"2009","MUJER"
"Yucatán",0,0,0,0,11,27,1,28,5,29,2,2,"2009","MUJER"
"Zacatecas",0,0,0,0,1,29,29,24,32,21,27,1,"2009","MUJER"
"Aguascalientes",0,0,0,0,0,10,28,27,29,19,29,0,"2010","MUJER"
"Baja California",0,0,3,6,20,3,10,2,13,1,6,8,"2010","MUJER"
"Baja California Sur",0,0,0,2,4,27,20,14,18,28,14,0,"2010","MUJER"
"Campeche",0,0,1,0,2,9,23,19,21,11,16,4,"2010","MUJER"
"Coahuila",0,2,2,8,19,29,6,7,8,5,12,72,"2010","MUJER"
"Colima",0,0,0,0,1,27,16,15,18,32,15,1,"2010","MUJER"
"Chiapas",0,1,1,2,19,24,7,6,12,2,9,25,"2010","MUJER"
"Chihuahua",1,10,3,10,22,26,15,13,19,9,17,52,"2010","MUJER"
"Distrito Federal",0,0,5,15,28,4,19,18,24,14,22,4,"2010","MUJER"
"Durango",0,0,0,0,0,16,33,31,4,23,3,0,"2010","MUJER"
"Guanajuato",0,0,0,7,21,2,14,12,15,4,13,0,"2010","MUJER"
"Guerrero",0,1,0,0,11,31,8,10,10,29,7,84,"2010","MUJER"
"Hidalgo",0,0,2,2,9,21,31,29,1,23,32,2,"2010","MUJER"
"Jalisco",0,0,0,17,34,8,18,17,23,13,23,95,"2010","MUJER"
"México",6,4,7,20,107,17,27,25,30,21,30,106,"2010","MUJER"
"Michoacán",0,0,0,0,1,20,3,4,11,7,18,6,"2010","MUJER"
"Morelos",0,1,2,15,13,19,32,30,5,26,4,4,"2010","MUJER"
"Nayarit",0,0,0,0,3,7,21,21,25,15,25,0,"2010","MUJER"
"Nuevo León",0,0,1,13,33,2,13,8,14,3,10,5,"2010","MUJER"
"Oaxaca",0,0,4,5,14,30,12,5,8,30,12,2,"2010","MUJER"
"Puebla",0,0,1,6,17,25,9,11,17,8,19,34,"2010","MUJER"
"Querétaro",0,0,0,0,2,11,29,26,31,20,28,0,"2010","MUJER"
"Quintana Roo",0,0,0,1,10,14,25,20,22,12,21,0,"2010","MUJER"
"San Luis Potosí",0,0,0,2,5,23,5,1,7,27,5,0,"2010","MUJER"
"Sinaloa",0,0,0,0,18,28,4,3,16,31,8,4,"2010","MUJER"
"Sonora",1,1,1,3,10,22,2,33,6,24,1,5,"2010","MUJER"
"Tabasco",1,2,1,1,3,18,1,32,2,22,31,5,"2010","MUJER"
"Tamaulipas",0,0,3,5,15,6,11,9,9,6,11,4,"2010","MUJER"
"Tlaxcala",0,0,1,0,6,1,22,22,26,17,27,6,"2010","MUJER"
"Veracruz",0,0,3,9,39,5,17,16,20,10,20,12,"2010","MUJER"
"Yucatán",0,0,0,0,7,12,30,28,3,25,2,3,"2010","MUJER"
"Zacatecas",0,0,0,0,0,15,26,24,28,16,24,1,"2010","MUJER"
"Aguascalientes",1,1,1,1,1,9,30,24,32,24,31,1,"2011","MUJER"
"Baja California",1,1,7,12,12,8,15,7,17,9,7,5,"2011","MUJER"
"Baja California Sur",1,1,1,7,13,13,23,13,19,30,15,1,"2011","MUJER"
"Campeche",1,1,1,8,18,14,26,18,23,13,16,1,"2011","MUJER"
"Coahuila",1,2,7,14,18,24,8,2,7,5,11,6,"2011","MUJER"
"Colima",1,1,1,1,7,4,19,14,18,12,17,2,"2011","MUJER"
"Chiapas",1,2,5,8,4,26,7,4,14,6,13,3,"2011","MUJER"
"Chihuahua",6,7,6,6,15,1,18,12,22,10,18,13,"2011","MUJER"
"Distrito Federal",1,4,6,4,12,10,20,17,25,17,21,6,"2011","MUJER"
"Durango",1,2,1,2,1,18,1,31,4,27,2,1,"2011","MUJER"
