"Estado","menosde1","de1a4","de5a9","de10a14","de15a19","de20a24","de25a44","de45a49","de50a59","de60a64","masde65","Ign.","Año","Sexo"
"Guanajuato",1,5,5,13,9,31,16,9,15,2,9,1,"2011","MUJER"
"Guerrero",4,6,6,14,6,28,12,10,13,3,8,11,"2011","MUJER"
"Hidalgo",1,1,2,2,2,29,2,29,3,29,33,4,"2011","MUJER"
"Jalisco",2,1,6,11,19,16,22,16,26,16,23,8,"2011","MUJER"
"México",3,9,4,9,22,19,29,26,8,23,29,16,"2011","MUJER"
"Michoacán",1,4,7,7,3,30,5,33,9,1,12,9,"2011","MUJER"
"Morelos",7,3,3,5,11,6,3,32,6,33,3,7,"2011","MUJER"
"Nayarit",1,2,2,7,20,15,25,19,30,19,28,1,"2011","MUJER"
"Nuevo León",4,10,8,4,15,2,17,11,16,4,10,12,"2011","MUJER"
"Oaxaca",2,1,6,7,8,27,11,3,12,31,4,3,"2011","MUJER"
"Puebla",1,1,5,2,10,25,14,8,21,11,19,14,"2011","MUJER"
"Querétaro",1,1,1,1,16,12,31,23,31,18,25,2,"2011","MUJER"
"Quintana Roo",1,2,1,7,6,22,28,22,27,14,20,1,"2011","MUJER"
"San Luis Potosí",2,1,1,1,3,27,9,1,10,32,6,1,"2011","MUJER"
"Sinaloa",1,2,1,10,11,30,13,5,20,8,14,7,"2011","MUJER"
"Sonora",2,6,1,10,4,21,6,30,5,28,1,6,"2011","MUJER"
"Tabasco",1,2,7,10,5,23,4,28,2,25,30,7,"2011","MUJER"
"Tamaulipas",1,1,2,10,17,5,10,6,11,7,5,15,"2011","MUJER"
"Tlaxcala",4,2,2,1,7,3,24,21,28,20,24,2,"2011","MUJER"
"Veracruz",1,2,2,14,14,7,21,15,24,15,22,5,"2011","MUJER"
"Yucatán",1,1,1,1,23,20,32,27,1,26,32,2,"2011","MUJER"
"Zacatecas",1,1,2,1,7,17,33,25,33,22,27,1,"2011","MUJER"
"Aguascalientes",0,0,0,0,0,23,876,610,1201,709,911,0,"2012","MUJER"
"Baja California",1,2,3,6,22,119,2119,1321,2711,1171,1651,11,"2012","MUJER"
"Baja California Sur",0,0,0,2,4,27,523,194,375,89,119,0,"2012","MUJER"
"Campeche",0,0,1,2,2,22,442,252,347,122,164,1,"2012","MUJER"
"Coahuila",0,3,1,10,5,74,2014,1404,2052,1133,1459,10,"2012","MUJER"
"Colima",0,0,0,0,3,9,249,153,268,107,134,0,"2012","MUJER"
"Chiapas",2,4,1,7,27,64,1681,1105,2388,963,1652,4,"2012","MUJER"
"Chihuahua",0,2,3,11,31,115,2636,1499,3466,1211,2020,0,"2012","MUJER"
"Distrito Federal",0,0,2,12,41,163,3093,2259,4714,2297,3181,2,"2012","MUJER"
"Durango",0,0,0,0,0,27,887,691,1419,582,996,0,"2012","MUJER"
"Guanajuato",0,1,0,3,24,91,2090,1213,2399,859,1515,5,"2012","MUJER"
"Guerrero",0,0,4,2,20,58,1659,1107,2152,908,1387,19,"2012","MUJER"
"Hidalgo",0,2,0,5,19,70,1242,844,1747,709,1139,5,"2012","MUJER"
"Jalisco",3,1,7,21,57,203,3515,2058,4961,2311,4267,23,"2012","MUJER"
"México",1,0,1,4,160,401,7536,4915,10241,4373,6860,92,"2012","MUJER"
"Michoacán",0,0,0,0,19,107,1313,939,1845,897,1642,19,"2012","MUJER"
"Morelos",0,1,2,12,6,67,960,747,1719,900,1323,3,"2012","MUJER"
"Nayarit",1,0,1,1,3,19,440,276,705,390,817,1,"2012","MUJER"
"Nuevo León",0,0,4,4,15,119,2383,1332,2700,980,1277,3,"2012","MUJER"
"Oaxaca",4,1,3,10,15,65,1829,1190,2273,919,1574,106,"2012","MUJER"
"Puebla",0,0,2,3,24,63,1844,1286,2829,1133,2196,3,"2012","MUJER"
"Querétaro",0,0,0,0,10,31,910,463,965,293,545,0,"2012","MUJER"
"Quintana Roo",0,0,0,0,3,19,556,279,488,169,191,1,"2012","MUJER"
"San Luis Potosí",0,0,0,0,10,66,1726,1063,2085,856,1260,0,"2012","MUJER"
"Sinaloa",0,0,5,6,30,78,2238,1395,3350,1330,2117,7,"2012","MUJER"
"Sonora",2,1,2,8,19,45,1520,782,1877,642,973,12,"2012","MUJER"
"Tabasco",0,0,2,4,10,54,1373,740,1489,540,807,6,"2012","MUJER"
"Tamaulipas",0,0,1,8,46,181,1978,1347,2313,1214,1420,20,"2012","MUJER"
"Tlaxcala",0,0,0,2,8,20,449,330,768,279,441,1,"2012","MUJER"
"Veracruz",0,1,2,14,23,147,3358,2237,4592,2205,3494,19,"2012","MUJER"
"Yucatán",1,5,2,8,8,46,794,535,981,504,703,3,"2012","MUJER"
"Zacatecas",0,0,0,0,1,29,590,481,822,270,436,4,"2012","MUJER"
"Aguascalientes",2,2,2,0,0,11,30,24,2,21,33,0,"2013","MUJER"
"Baja California",2,2,2,5,28,30,14,9,20,5,15,5,"2013","MUJER"
"Baja California Sur",2,2,2,0,0,7,23,13,23,25,16,0,"2013","MUJER"
"Campeche",2,2,2,0,3,4,22,14,22,8,18,2,"2013","MUJER"
"Coahuila",2,2,2,5,11,32,5,33,6,24,3,15,"2013","MUJER"
"Colima",2,2,2,0,0,26,18,12,19,8,17,0,"2013","MUJER"
"Chiapas",2,2,2,1,5,21,7,2,13,27,9,10,"2013","MUJER"
"Chihuahua",2,2,2,3,3,24,13,6,18,29,12,0,"2013","MUJER"
"Distrito Federal",2,2,2,2,32,6,17,15,25,10,21,21,"2013","MUJER"
"Durango",2,2,2,0,0,14,31,26,3,19,32,0,"2013","MUJER"
"Guanajuato",2,2,2,1,9,2,12,5,14,28,6,1,"2013","MUJER"
"Guerrero",2,2,2,1,14,22,11,7,16,31,8,10,"2013","MUJER"
"Hidalgo",2,2,2,4,14,20,1,28,5,22,2,4,"2013","MUJER"
"Jalisco",2,2,2,0,3,5,20,11,24,6,23,49,"2013","MUJER"
"México",2,2,2,1,94,18,26,22,32,16,28,35,"2013","MUJER"
"Michoacán",2,2,2,0,1,16,3,32,10,1,14,8,"2013","MUJER"
"Morelos",2,2,2,46,50,23,33,30,8,30,10,16,"2013","MUJER"
"Nayarit",2,2,2,0,4,10,21,17,27,13,30,3,"2013","MUJER"
"Nuevo León",2,2,2,4,18,31,16,8,17,32,5,2,"2013","MUJER"
"Oaxaca",2,2,2,0,0,29,9,3,11,26,7,21,"2013","MUJER"
"Puebla",2,2,2,4,20,27,8,4,15,2,13,19,"2013","MUJER"
"Querétaro",2,2,2,0,0,13,32,21,33,12,27,0,"2013","MUJER"
"Quintana Roo",2,2,2,0,4,8,29,20,28,9,20,0,"2013","MUJER"
"San Luis Potosí",2,2,2,0,0,19,6,31,9,23,4,0,"2013","MUJER"
"Sinaloa",2,2,2,0,0,28,15,10,21,3,19,2,"2013","MUJER"
"Sonora",2,2,2,1,1,17,4,29,7,20,1,14,"2013","MUJER"
"Tabasco",2,2,2,1,9,15,2,27,4,18,31,1,"2013","MUJER"
"Tamaulipas",2,2,2,5,18,25,10,1,12,4,11,39,"2013","MUJER"
"Tlaxcala",2,2,2,1,1,1,24,18,29,14,24,3,"2013","MUJER"
"Veracruz",2,2,2,0,17,3,19,16,26,7,22,2,"2013","MUJER"
"Yucatán",2,2,2,0,4,12,28,25,1,17,29,5,"2013","MUJER"
"Zacatecas",2,2,2,0,1,12,27,23,31,11,25,1,"2013","MUJER"
"Aguascalientes",0,0,0,0,0,52,941,571,1028,478,662,7,"2003","GENERAL"
"Baja California",0,0,1,3,45,130,2731,1381,3249,1664,2563,27,"2003","GENERAL"
"Baja California Sur",0,0,0,0,7,26,541,296,599,238,500,0,"2003","GENERAL"
"Campeche",0,0,1,2,4,39,679,329,625,258,412,8,"2003","GENERAL"
"Coahuila",2,14,15,25,55,167,3458,2008,4601,2053,3263,14,"2003","GENERAL"
"Colima",0,0,0,0,2,9,339,228,420,195,251,5,"2003","GENERAL"
"Chiapas",6,11,18,11,33,92,2578,1710,3469,1559,2403,32,"2003","GENERAL"
"Chihuahua",1,5,11,18,53,193,2814,1562,3921,1796,3078,18,"2003","GENERAL"
"Distrito Federal",0,0,0,6,28,249,7636,6198,11801,6423,10813,183,"2003","GENERAL"
"Durango",0,0,0,0,0,62,2070,1375,3184,1612,3048,16,"2003","GENERAL"
"Guanajuato",0,0,1,2,38,286,3705,2149,4732,2205,3948,26,"2003","GENERAL"
"Guerrero",1,0,5,9,25,91,3209,2161,4197,1953,3373,18,"2003","GENERAL"
"Hidalgo",1,0,0,3,14,44,1341,831,1557,639,1198,5,"2003","GENERAL"
"Jalisco",1,0,8,11,45,171,5046,3431,8326,4163,7673,288,"2003","GENERAL"
"México",22,17,22,38,89,343,8260,6041,10500,5579,7788,173,"2003","GENERAL"
"Michoacán",0,0,1,2,17,86,2103,1376,3063,1519,2736,16,"2003","GENERAL"
"Morelos",0,0,0,0,2,19,1557,1590,2914,1804,1959,62,"2003","GENERAL"
"Nayarit",0,0,0,5,15,44,646,536,1135,576,1067,7,"2003","GENERAL"
"Nuevo León",12,20,17,27,61,197,3063,2093,4107,2167,3181,115,"2003","GENERAL"
"Oaxaca",0,1,0,4,10,208,2118,1501,2234,1052,1445,6,"2003","GENERAL"
"Puebla",5,4,15,15,73,213,2746,2305,4225,2184,4144,131,"2003","GENERAL"
"Querétaro",0,0,0,0,0,46,1392,701,1471,534,832,4,"2003","GENERAL"
"Quintana Roo",0,0,0,0,2,10,557,334,456,180,279,3,"2003","GENERAL"
"San Luis Potosí",0,1,2,7,13,98,2388,1254,3008,1326,2277,13,"2003","GENERAL"
"Sinaloa",1,5,3,12,7,62,1532,1288,2959,1804,2654,25,"2003","GENERAL"
"Sonora",4,4,7,14,20,90,1920,1342,2691,1241,1926,11,"2003","GENERAL"
"Tabasco",2,5,6,6,25,85,2002,1179,2086,856,1238,46,"2003","GENERAL"
"Tamaulipas",0,1,2,1,6,66,3441,1800,4028,1762,2869,24,"2003","GENERAL"
"Tlaxcala",0,0,0,0,3,25,621,389,799,357,690,6,"2003","GENERAL"
"Veracruz",0,1,0,2,16,100,4329,2635,5281,2346,3814,32,"2003","GENERAL"
"Yucatán",0,1,1,1,7,17,1646,942,2484,1134,1985,9,"2003","GENERAL"
"Zacatecas",0,0,0,0,0,33,1043,571,1373,598,1005,15,"2003","GENERAL"
"Aguascalientes",0,0,0,0,1,49,1475,829,1571,714,1093,59,"2004","GENERAL"
"Baja California",0,3,10,16,54,158,2992,1396,3719,1726,2662,25,"2004","GENERAL"
"Baja California Sur",0,0,0,5,9,25,536,296,619,282,420,2,"2004","GENERAL"
"Campeche",0,0,1,0,4,38,622,337,739,303,361,0,"2004","GENERAL"
"Coahuila",8,7,5,6,18,122,3474,2173,5032,2326,3546,17,"2004","GENERAL"
"Colima",0,0,0,0,0,10,429,237,518,231,320,2,"2004","GENERAL"
"Chiapas",5,11,13,7,43,94,2555,1830,3576,1738,2470,21,"2004","GENERAL"
"Chihuahua",0,1,3,3,24,154,2932,1603,4294,2028,3568,11,"2004","GENERAL"
"Distrito Federal",0,1,2,2,49,221,7249,5467,11205,5761,9941,65,"2004","GENERAL"
"Durango",0,0,0,0,0,42,1912,1307,2981,1553,2430,21,"2004","GENERAL"
"Guanajuato",0,0,0,4,15,146,3976,2246,5504,2687,4478,9,"2004","GENERAL"
"Guerrero",0,1,1,1,9,83,3236,2124,4201,1895,3085,77,"2004","GENERAL"
"Hidalgo",0,0,0,0,4,30,1264,844,1521,781,1258,2,"2004","GENERAL"
"Jalisco",22,10,20,35,78,199,6412,3996,10612,5504,10047,307,"2004","GENERAL"
"México",21,11,11,27,64,340,9078,6511,12283,6899,9273,123,"2004","GENERAL"
"Michoacán",0,1,0,8,13,84,1812,1168,2494,1359,2336,10,"2004","GENERAL"
"Morelos",0,0,1,1,8,35,1760,1578,2931,1569,2331,184,"2004","GENERAL"
"Nayarit",0,0,0,0,10,13,679,533,1264,642,1284,8,"2004","GENERAL"
"Nuevo León",11,16,9,19,36,191,3177,1881,3799,1884,2945,95,"2004","GENERAL"
"Oaxaca",0,0,2,3,8,137,2241,1455,2524,1275,1573,24,"2004","GENERAL"
"Puebla",56,5,4,11,37,149,3311,2571,5343,2929,5203,80,"2004","GENERAL"
"Querétaro",0,0,0,1,2,31,1460,797,1541,623,1028,4,"2004","GENERAL"
"Quintana Roo",0,0,0,0,2,27,539,273,378,160,149,2,"2004","GENERAL"
"San Luis Potosí",0,0,0,0,5,80,2509,1504,3037,1461,2378,33,"2004","GENERAL"
"Sinaloa",0,0,0,0,1,78,1821,1724,3760,1972,3178,20,"2004","GENERAL"
"Sonora",0,0,0,3,23,83,2363,1466,3155,1449,2169,24,"2004","GENERAL"
"Tabasco",0,1,5,11,14,115,2043,1097,1981,790,1148,7,"2004","GENERAL"
"Tamaulipas",37,83,53,36,27,92,3389,1821,4112,1855,3046,19,"2004","GENERAL"
"Tlaxcala",0,0,0,1,6,19,705,418,836,365,599,3,"2004","GENERAL"
"Veracruz",4,7,9,13,22,119,4227,2509,5159,2246,3155,26,"2004","GENERAL"
"Yucatán",0,0,0,3,12,30,1804,1101,2756,1227,2071,7,"2004","GENERAL"
"Zacatecas",0,0,0,0,0,57,1132,584,1313,576,1033,3,"2004","GENERAL"
"Aguascalientes",0,0,0,0,4,8,1,29,4,29,26,1,"2005","GENERAL"
"Baja California",5,3,35,63,132,19,15,8,18,11,8,19,"2005","GENERAL"
"Baja California Sur",0,1,1,0,7,14,26,23,30,15,20,0,"2005","GENERAL"
"Campeche",4,3,5,4,10,20,33,30,33,22,22,2,"2005","GENERAL"
"Coahuila",0,8,10,17,23,7,20,16,25,18,19,14,"2005","GENERAL"
"Colima",0,0,0,0,0,9,23,20,31,20,23,2,"2005","GENERAL"
"Chiapas",2,9,13,17,33,27,14,15,21,12,13,30,"2005","GENERAL"
"Chihuahua",8,8,4,7,11,6,13,5,20,8,15,37,"2005","GENERAL"
"Distrito Federal",0,0,1,3,47,21,28,24,8,27,31,20,"2005","GENERAL"
"Durango",0,0,0,0,0,24,10,12,16,17,18,8,"2005","GENERAL"
"Guanajuato",0,0,0,2,14,5,21,17,28,19,21,54,"2005","GENERAL"
"Guerrero",0,0,2,2,21,28,18,13,24,9,16,27,"2005","GENERAL"
"Hidalgo",0,0,1,0,3,14,2,33,6,33,2,4,"2005","GENERAL"
"Jalisco",16,11,20,48,71,4,25,22,32,26,30,160,"2005","GENERAL"
"México",5,10,13,28,70,19,30,31,10,30,32,73,"2005","GENERAL"
"Michoacán",0,0,1,6,26,22,5,2,12,2,9,59,"2005","GENERAL"
"Morelos",0,0,2,2,1,18,7,7,13,4,7,27,"2005","GENERAL"
"Nayarit",0,0,0,1,9,16,27,26,3,31,1,1,"2005","GENERAL"
"Nuevo León",3,4,5,15,44,5,17,14,22,10,12,83,"2005","GENERAL"
"Oaxaca",0,0,0,0,3,10,12,11,15,7,4,24,"2005","GENERAL"
"Puebla",2,2,1,15,35,11,19,18,29,21,24,53,"2005","GENERAL"
"Querétaro",0,0,0,0,6,14,3,32,5,25,27,0,"2005","GENERAL"
"Quintana Roo",0,0,0,0,2,13,24,21,27,14,5,0,"2005","GENERAL"
"San Luis Potosí",0,0,0,0,12,1,11,6,17,6,11,15,"2005","GENERAL"
"Sinaloa",1,2,2,9,20,2,9,9,23,13,14,66,"2005","GENERAL"
"Sonora",9,1,2,2,19,25,8,4,14,3,6,52,"2005","GENERAL"
"Tabasco",56,5,10,8,17,27,6,3,7,32,33,14,"2005","GENERAL"
"Tamaulipas",2,8,4,11,21,26,16,10,19,5,10,18,"2005","GENERAL"
"Tlaxcala",0,1,0,2,3,12,29,27,1,23,25,5,"2005","GENERAL"
"Veracruz",0,1,4,11,25,3,22,19,26,16,17,26,"2005","GENERAL"
"Yucatán",0,0,3,11,11,23,4,1,11,1,3,8,"2005","GENERAL"
"Zacatecas",0,0,0,0,1,15,32,25,2,24,28,5,"2005","GENERAL"
"Aguascalientes",0,0,1,1,7,20,1,31,4,30,28,5,"2006","GENERAL"
"Baja California",0,3,16,33,78,15,18,10,20,11,9,41,"2006","GENERAL"
"Baja California Sur",0,0,1,2,10,22,24,20,29,15,22,0,"2006","GENERAL"
"Campeche",0,0,1,2,2,14,27,23,30,21,21,1,"2006","GENERAL"
"Coahuila",0,0,1,3,19,5,16,16,24,17,19,20,"2006","GENERAL"
"Colima",0,0,0,0,0,9,23,19,31,20,25,0,"2006","GENERAL"
"Chiapas",3,5,4,5,22,27,11,8,14,2,7,33,"2006","GENERAL"
"Chihuahua",0,2,3,4,17,1,14,7,19,9,15,96,"2006","GENERAL"
"Distrito Federal",0,0,2,6,50,24,30,25,7,26,27,32,"2006","GENERAL"
"Durango",0,0,0,0,0,28,4,3,11,3,6,8,"2006","GENERAL"
"Guanajuato",0,0,0,9,15,10,22,17,28,19,23,8,"2006","GENERAL"
"Guerrero",5,1,5,4,16,2,15,12,18,6,14,27,"2006","GENERAL"
"Hidalgo",0,0,0,2,10,23,3,32,5,32,3,2,"2006","GENERAL"
"Jalisco",27,45,47,75,135,19,25,22,33,23,32,144,"2006","GENERAL"
"México",5,3,7,22,74,21,33,30,9,29,33,185,"2006","GENERAL"
"Michoacán",0,0,0,7,14,25,8,4,13,7,16,6,"2006","GENERAL"
"Morelos",0,0,1,1,4,30,7,6,16,8,11,44,"2006","GENERAL"
"Nayarit",0,0,0,0,8,18,29,26,1,28,2,4,"2006","GENERAL"
"Nuevo León",2,2,6,11,49,11,20,14,21,12,12,46,"2006","GENERAL"
"Oaxaca",0,1,1,2,15,7,13,11,17,5,8,13,"2006","GENERAL"
"Puebla",1,2,4,19,55,32,17,15,26,18,24,10,"2006","GENERAL"
"Querétaro",0,0,0,0,1,12,2,29,3,24,29,0,"2006","GENERAL"
"Quintana Roo",0,0,0,1,0,13,26,21,25,14,17,2,"2006","GENERAL"
"San Luis Potosí",0,0,0,2,15,26,10,5,15,4,10,117,"2006","GENERAL"
"Sinaloa",0,1,4,19,24,31,12,9,23,13,18,24,"2006","GENERAL"
"Sonora",0,0,1,0,6,16,5,33,10,33,4,2,"2006","GENERAL"
"Tabasco",1,1,5,3,19,29,9,2,6,31,1,11,"2006","GENERAL"
"Tamaulipas",10,15,12,11,18,3,19,13,22,10,13,22,"2006","GENERAL"
"Tlaxcala",0,0,0,1,0,6,28,24,32,22,26,12,"2006","GENERAL"
"Veracruz",0,1,2,7,23,8,21,18,27,16,20,11,"2006","GENERAL"
"Yucatán",0,0,2,14,33,4,6,1,12,1,5,21,"2006","GENERAL"
"Zacatecas",0,0,0,1,0,18,32,28,2,25,30,3,"2006","GENERAL"
"Aguascalientes",1,0,1,0,6,25,33,30,33,23,27,6,"2007","GENERAL"
"Baja California",1,4,8,14,44,7,15,7,14,3,7,73,"2007","GENERAL"
"Baja California Sur",0,0,2,2,12,17,28,21,27,18,23,3,"2007","GENERAL"
"Campeche",0,0,1,0,6,12,29,23,29,20,22,2,"2007","GENERAL"
"Coahuila",2,7,9,8,21,8,16,10,21,12,13,15,"2007","GENERAL"
"Colima",0,0,0,0,0,1,24,20,30,19,26,0,"2007","GENERAL"
"Chiapas",7,11,9,17,41,31,14,12,17,4,12,26,"2007","GENERAL"
"Chihuahua",1,3,8,2,19,5,21,13,22,10,17,17,"2007","GENERAL"
"Distrito Federal",0,0,0,1,33,18,27,27,5,26,29,18,"2007","GENERAL"
"Durango",0,0,0,0,0,26,4,33,8,33,4,0,"2007","GENERAL"
"Guanajuato",0,0,0,3,13,6,20,9,19,9,18,4,"2007","GENERAL"
"Guerrero",1,3,2,3,11,30,19,15,18,7,15,12,"2007","GENERAL"
"Hidalgo",0,0,0,1,15,19,3,1,4,31,3,4,"2007","GENERAL"
"Jalisco",17,11,21,46,120,16,26,24,31,21,30,93,"2007","GENERAL"
"México",52,13,9,24,117,20,7,32,7,29,6,95,"2007","GENERAL"
"Michoacán",0,0,3,11,25,2,8,6,16,8,20,52,"2007","GENERAL"
"Morelos",0,1,0,0,10,23,11,8,13,6,11,41,"2007","GENERAL"
"Nayarit",0,0,0,0,8,22,25,26,32,28,1,10,"2007","GENERAL"
"Nuevo León",1,6,7,20,55,9,22,17,24,14,19,79,"2007","GENERAL"
"Oaxaca",2,1,0,3,16,4,13,14,15,5,10,10,"2007","GENERAL"
"Puebla",0,3,2,11,32,2,17,16,25,15,24,21,"2007","GENERAL"
"Querétaro",0,0,0,0,1,14,2,31,3,24,28,0,"2007","GENERAL"
"Quintana Roo",0,4,0,0,4,14,31,22,28,17,16,3,"2007","GENERAL"
"San Luis Potosí",0,0,0,1,11,21,10,4,12,2,8,0,"2007","GENERAL"
"Sinaloa",0,4,0,0,17,29,12,11,23,13,21,54,"2007","GENERAL"
"Sonora",0,5,1,0,14,27,5,3,10,32,5,2,"2007","GENERAL"
"Tabasco",0,0,2,12,21,3,9,5,9,30,2,6,"2007","GENERAL"
"Tamaulipas",0,1,8,12,16,28,18,18,20,11,14,14,"2007","GENERAL"
"Tlaxcala",0,0,1,3,17,11,30,25,1,22,31,2,"2007","GENERAL"
"Veracruz",0,1,2,12,38,10,23,19,26,16,25,9,"2007","GENERAL"
"Yucatán",1,1,3,7,19,24,6,2,11,1,9,12,"2007","GENERAL"
"Zacatecas",0,0,0,0,0,13,1,28,2,25,33,7,"2007","GENERAL"
"Aguascalientes",0,0,1,0,5,16,1,32,1,26,26,0,"2008","GENERAL"
"Baja California",1,4,9,20,34,5,17,7,19,7,7,33,"2008","GENERAL"
"Baja California Sur",0,0,0,4,2,15,30,21,30,19,21,1,"2008","GENERAL"
"Campeche",3,11,11,7,11,13,25,20,26,17,16,0,"2008","GENERAL"
"Coahuila",0,0,11,22,26,32,13,9,20,13,13,33,"2008","GENERAL"
"Colima",0,0,0,0,1,1,24,22,29,21,24,0,"2008","GENERAL"
"Chiapas",0,2,1,9,26,25,11,13,15,4,9,28,"2008","GENERAL"
"Chihuahua",0,2,4,3,21,3,22,15,25,12,19,5,"2008","GENERAL"
