"Estado","menosde1","de1a4","de5a9","de10a14","de15a19","de20a24","de25a44","de45a49","de50a59","de60a64","masde65","Ign.","Año","Sexo"
"México",4,5,4,11,28,30,17,8,22,10,19,47,"2005","HOMBRE"
"Michoacán",0,0,1,4,12,8,29,16,32,17,32,51,"2005","HOMBRE"
"Morelos",0,0,1,0,0,28,26,23,1,25,33,17,"2005","HOMBRE"
"Nayarit",0,0,0,0,2,5,14,6,28,13,26,1,"2005","HOMBRE"
"Nuevo León",2,2,2,8,22,20,7,28,10,26,3,22,"2005","HOMBRE"
"Oaxaca",0,0,0,0,1,25,32,20,2,22,30,14,"2005","HOMBRE"
"Puebla",1,1,1,5,7,27,6,32,15,2,15,23,"2005","HOMBRE"
"Querétaro",0,0,0,0,3,2,23,11,27,8,21,0,"2005","HOMBRE"
"Quintana Roo",0,0,0,0,1,2,11,2,16,19,29,0,"2005","HOMBRE"
"San Luis Potosí",0,0,0,0,3,13,31,17,4,21,4,7,"2005","HOMBRE"
"Sinaloa",0,2,0,3,10,12,30,22,11,28,9,17,"2005","HOMBRE"
"Sonora",8,1,2,2,7,11,27,15,33,18,31,33,"2005","HOMBRE"
"Tabasco",52,4,5,4,8,14,25,18,30,15,24,8,"2005","HOMBRE"
"Tamaulipas",1,3,2,8,4,16,2,21,5,20,1,8,"2005","HOMBRE"
"Tlaxcala",0,0,0,2,1,9,15,10,24,5,17,0,"2005","HOMBRE"
"Veracruz",0,1,2,4,6,17,8,31,12,27,8,8,"2005","HOMBRE"
"Yucatán",0,0,1,2,4,10,24,14,31,16,28,3,"2005","HOMBRE"
"Zacatecas",0,0,0,0,0,29,20,5,20,7,25,1,"2005","HOMBRE"
"Aguascalientes",0,0,1,1,2,27,20,13,27,11,22,5,"2006","HOMBRE"
"Baja California",0,1,7,17,40,26,5,28,8,25,2,19,"2006","HOMBRE"
"Baja California Sur",0,0,0,0,2,6,12,4,19,26,14,0,"2006","HOMBRE"
"Campeche",0,0,1,2,0,25,11,5,16,3,13,0,"2006","HOMBRE"
"Coahuila",0,0,1,1,6,19,4,32,12,33,10,8,"2006","HOMBRE"
"Colima",0,0,0,0,0,22,9,3,18,2,16,0,"2006","HOMBRE"
"Chiapas",2,4,2,3,12,11,29,21,1,16,30,14,"2006","HOMBRE"
"Chihuahua",0,2,2,3,6,18,1,22,6,21,7,80,"2006","HOMBRE"
"Distrito Federal",0,0,1,0,16,8,16,9,23,7,18,25,"2006","HOMBRE"
"Durango",0,0,0,0,0,16,23,18,33,18,33,3,"2006","HOMBRE"
"Guanajuato",0,0,0,4,6,24,8,33,15,31,12,3,"2006","HOMBRE"
"Guerrero",4,0,4,0,4,17,2,27,7,20,6,13,"2006","HOMBRE"
"Hidalgo",0,0,0,1,4,7,22,14,29,13,27,0,"2006","HOMBRE"
"Jalisco",12,23,20,35,47,3,10,1,20,1,20,56,"2006","HOMBRE"
"México",4,2,2,7,30,28,17,10,24,8,19,40,"2006","HOMBRE"
"Michoacán",0,0,0,2,3,5,28,20,3,22,8,3,"2006","HOMBRE"
"Morelos",0,0,0,0,0,9,27,23,5,24,4,21,"2006","HOMBRE"
"Nayarit",0,0,0,0,2,5,14,8,25,10,26,1,"2006","HOMBRE"
"Nuevo León",1,2,2,5,19,23,7,30,10,27,3,15,"2006","HOMBRE"
"Oaxaca",0,0,0,1,4,21,31,25,4,19,31,6,"2006","HOMBRE"
"Puebla",1,1,3,5,21,15,3,29,13,32,15,6,"2006","HOMBRE"
"Querétaro",0,0,0,0,0,2,21,12,28,5,21,0,"2006","HOMBRE"
"Quintana Roo",0,0,0,1,0,5,15,2,17,29,32,1,"2006","HOMBRE"
"San Luis Potosí",0,0,0,1,5,10,30,19,2,17,1,1,"2006","HOMBRE"
"Sinaloa",0,0,0,7,8,14,32,24,11,28,11,13,"2006","HOMBRE"
"Sonora",0,0,0,0,4,4,24,15,31,14,28,1,"2006","HOMBRE"
"Tabasco",0,0,1,1,9,13,26,17,30,12,25,7,"2006","HOMBRE"
"Tamaulipas",7,9,5,6,6,12,5,26,9,23,5,4,"2006","HOMBRE"
"Tlaxcala",0,0,0,0,0,20,13,7,21,4,17,8,"2006","HOMBRE"
"Veracruz",0,0,2,6,8,18,6,31,14,30,9,2,"2006","HOMBRE"
"Yucatán",0,0,1,9,23,29,25,16,32,15,29,10,"2006","HOMBRE"
"Zacatecas",0,0,0,0,0,6,19,6,22,6,24,1,"2006","HOMBRE"
"Aguascalientes",0,0,0,0,2,11,23,13,22,6,13,2,"2007","HOMBRE"
"Baja California",1,2,5,8,17,20,6,23,5,22,30,39,"2007","HOMBRE"
"Baja California Sur",0,0,1,1,3,6,18,5,19,4,14,1,"2007","HOMBRE"
"Campeche",0,0,0,0,2,25,15,3,17,5,12,1,"2007","HOMBRE"
"Coahuila",2,4,5,4,6,22,3,31,11,30,2,10,"2007","HOMBRE"
"Colima",0,0,0,0,0,1,14,6,21,3,15,0,"2007","HOMBRE"
"Chiapas",4,8,5,8,23,14,31,24,7,21,33,12,"2007","HOMBRE"
"Chihuahua",0,1,5,2,5,13,9,30,12,26,4,7,"2007","HOMBRE"
"Distrito Federal",0,0,0,0,16,8,17,10,25,11,16,14,"2007","HOMBRE"
"Durango",0,0,0,0,0,9,26,15,31,18,26,0,"2007","HOMBRE"
"Guanajuato",0,0,0,0,5,16,8,25,8,28,5,1,"2007","HOMBRE"
"Guerrero",1,0,1,3,3,17,7,29,10,24,1,6,"2007","HOMBRE"
"Hidalgo",0,0,0,0,6,3,25,16,30,17,25,3,"2007","HOMBRE"
"Jalisco",7,5,8,18,42,4,12,2,20,10,17,41,"2007","HOMBRE"
"México",49,4,6,11,43,7,22,11,29,12,21,47,"2007","HOMBRE"
"Michoacán",0,0,1,7,11,16,28,20,6,29,7,32,"2007","HOMBRE"
"Morelos",0,0,0,0,5,9,2,26,3,25,32,18,"2007","HOMBRE"
"Nayarit",0,0,0,0,7,26,13,7,23,14,23,3,"2007","HOMBRE"
"Nuevo León",1,2,4,12,24,18,10,33,15,31,6,6,"2007","HOMBRE"
"Oaxaca",2,0,0,1,6,19,33,27,4,23,31,2,"2007","HOMBRE"
"Puebla",0,1,0,3,11,12,4,28,14,32,9,7,"2007","HOMBRE"
"Querétaro",0,0,0,0,0,25,24,14,28,9,18,0,"2007","HOMBRE"
"Quintana Roo",0,4,0,0,0,3,20,4,18,2,11,1,"2007","HOMBRE"
"San Luis Potosí",0,0,0,1,6,6,30,19,1,20,27,0,"2007","HOMBRE"
"Sinaloa",0,0,0,0,6,15,1,22,13,31,8,51,"2007","HOMBRE"
"Sonora",0,0,0,0,6,12,27,17,32,16,29,2,"2007","HOMBRE"
"Tabasco",0,0,2,6,5,21,32,21,33,15,24,3,"2007","HOMBRE"
"Tamaulipas",0,1,4,4,4,10,5,32,9,27,3,8,"2007","HOMBRE"
"Tlaxcala",0,0,0,3,9,24,16,8,26,7,19,0,"2007","HOMBRE"
"Veracruz",0,0,0,6,11,23,11,1,16,1,10,1,"2007","HOMBRE"
"Yucatán",0,1,0,4,8,15,29,18,2,19,28,0,"2007","HOMBRE"
"Zacatecas",0,0,0,0,0,5,21,9,24,8,22,4,"2007","HOMBRE"
"Aguascalientes",0,0,1,0,3,7,23,14,23,13,14,0,"2008","HOMBRE"
"Baja California",1,2,7,9,10,21,7,23,9,24,31,15,"2008","HOMBRE"
"Baja California Sur",0,0,0,3,0,6,19,4,21,5,13,1,"2008","HOMBRE"
"Campeche",0,6,9,6,4,4,12,3,16,27,10,0,"2008","HOMBRE"
"Coahuila",0,0,4,8,7,23,3,28,10,32,2,21,"2008","HOMBRE"
"Colima",0,0,0,0,0,1,15,5,19,6,15,0,"2008","HOMBRE"
"Chiapas",0,1,0,3,12,15,32,25,4,21,29,11,"2008","HOMBRE"
"Chihuahua",0,1,3,2,8,22,9,31,14,28,7,3,"2008","HOMBRE"
"Distrito Federal",0,0,0,4,17,28,13,9,25,9,16,3,"2008","HOMBRE"
"Durango",0,0,0,0,0,9,25,15,31,16,25,0,"2008","HOMBRE"
"Guanajuato",0,0,2,2,7,24,8,32,12,29,5,3,"2008","HOMBRE"
"Guerrero",0,1,2,0,5,21,2,21,11,25,3,26,"2008","HOMBRE"
"Hidalgo",0,0,1,1,2,17,26,17,32,15,26,2,"2008","HOMBRE"
"Jalisco",9,10,15,26,44,5,14,2,20,3,17,49,"2008","HOMBRE"
"México",3,5,4,21,59,8,22,10,30,10,21,60,"2008","HOMBRE"
"Michoacán",0,0,0,1,7,16,29,26,8,30,6,16,"2008","HOMBRE"
"Morelos",0,0,1,0,4,19,28,24,5,26,33,10,"2008","HOMBRE"
"Nayarit",0,0,0,1,5,10,16,6,24,8,22,1,"2008","HOMBRE"
"Nuevo León",1,1,5,9,26,25,10,31,13,31,4,18,"2008","HOMBRE"
"Oaxaca",0,2,1,0,7,18,3,27,6,22,32,6,"2008","HOMBRE"
"Puebla",0,3,0,2,11,14,4,30,17,2,12,13,"2008","HOMBRE"
"Querétaro",0,0,0,0,0,27,24,13,28,7,18,0,"2008","HOMBRE"
"Quintana Roo",0,0,0,0,1,11,21,7,22,4,11,2,"2008","HOMBRE"
"San Luis Potosí",0,0,0,0,1,20,1,20,3,18,28,0,"2008","HOMBRE"
"Sinaloa",0,0,4,0,8,23,5,29,15,33,8,12,"2008","HOMBRE"
"Sonora",0,1,2,5,8,12,27,16,1,19,30,6,"2008","HOMBRE"
"Tabasco",0,2,0,5,6,21,31,19,33,17,24,6,"2008","HOMBRE"
"Tamaulipas",49,1,1,3,5,13,6,22,7,23,1,7,"2008","HOMBRE"
"Tlaxcala",0,0,0,0,3,27,17,12,27,14,23,3,"2008","HOMBRE"
"Veracruz",0,0,1,1,6,26,11,1,18,1,9,3,"2008","HOMBRE"
"Yucatán",0,0,0,0,8,3,30,18,2,20,27,5,"2008","HOMBRE"
"Zacatecas",0,0,0,0,1,3,20,8,29,12,20,0,"2008","HOMBRE"
"Aguascalientes",0,0,0,0,0,1,25,14,23,10,18,0,"2009","HOMBRE"
"Baja California",2,1,0,9,14,82,12,28,11,28,3,14,"2009","HOMBRE"
"Baja California Sur",0,0,0,0,1,11,22,5,21,6,14,1,"2009","HOMBRE"
"Campeche",0,0,0,0,2,2,19,8,19,8,13,0,"2009","HOMBRE"
"Coahuila",0,2,0,4,9,89,10,31,13,2,6,135,"2009","HOMBRE"
"Colima",0,0,0,0,0,3,20,6,20,7,15,0,"2009","HOMBRE"
"Chiapas",0,0,3,4,5,22,1,24,4,22,32,20,"2009","HOMBRE"
"Chihuahua",1,1,2,2,9,63,15,2,16,31,9,2,"2009","HOMBRE"
"Distrito Federal",0,0,0,1,19,100,18,10,24,11,19,8,"2009","HOMBRE"
"Durango",0,0,0,0,0,9,29,17,32,19,29,0,"2009","HOMBRE"
"Guanajuato",0,0,0,1,12,65,13,32,15,33,11,0,"2009","HOMBRE"
"Guerrero",0,3,1,2,13,29,5,26,9,26,2,26,"2009","HOMBRE"
"Hidalgo",0,0,1,4,8,18,31,19,33,20,28,3,"2009","HOMBRE"
"Jalisco",3,9,12,14,43,98,17,4,22,5,20,19,"2009","HOMBRE"
"México",0,0,0,0,0,316,26,16,30,17,26,70,"2009","HOMBRE"
"Michoacán",0,1,0,3,10,39,3,29,10,32,10,19,"2009","HOMBRE"
"Morelos",0,0,1,7,6,14,2,22,5,29,5,5,"2009","HOMBRE"
"Nayarit",0,0,1,3,0,15,21,7,26,13,24,2,"2009","HOMBRE"
"Nuevo León",0,0,4,7,12,75,16,3,18,1,7,16,"2009","HOMBRE"
"Oaxaca",0,0,1,1,11,30,9,23,7,24,33,6,"2009","HOMBRE"
"Puebla",0,0,0,3,13,22,11,30,14,4,16,27,"2009","HOMBRE"
"Querétaro",0,0,0,0,0,7,30,15,31,14,21,0,"2009","HOMBRE"
"Quintana Roo",1,0,0,0,0,12,28,11,25,9,17,1,"2009","HOMBRE"
"San Luis Potosí",0,0,0,0,2,63,6,22,6,23,1,0,"2009","HOMBRE"
"Sinaloa",0,0,0,0,14,29,7,27,12,30,8,12,"2009","HOMBRE"
"Sonora",0,0,0,0,0,26,32,18,3,21,31,0,"2009","HOMBRE"
"Tabasco",0,1,1,3,7,43,4,21,1,18,27,4,"2009","HOMBRE"
"Tamaulipas",0,0,2,3,7,43,8,25,8,27,4,4,"2009","HOMBRE"
"Tlaxcala",0,0,0,2,1,4,23,9,28,16,23,1,"2009","HOMBRE"
"Veracruz",5,3,3,16,13,44,14,1,17,3,12,2,"2009","HOMBRE"
"Yucatán",0,0,0,0,1,17,33,20,2,25,30,4,"2009","HOMBRE"
"Zacatecas",0,0,0,0,0,16,27,12,29,12,25,2,"2009","HOMBRE"
"Aguascalientes",0,0,0,0,0,15,519,367,684,319,453,0,"2010","HOMBRE"
"Baja California",4,1,1,11,15,131,1505,906,2005,925,1329,17,"2010","HOMBRE"
"Baja California Sur",0,0,0,0,4,1,289,103,251,96,103,0,"2010","HOMBRE"
"Campeche",0,1,0,0,3,12,218,186,275,82,129,1,"2010","HOMBRE"
"Coahuila",0,2,1,1,4,50,1070,719,1707,851,1150,49,"2010","HOMBRE"
"Colima",0,0,0,0,0,5,234,97,231,92,146,2,"2010","HOMBRE"
"Chiapas",0,1,6,5,14,20,1006,655,1402,565,1034,21,"2010","HOMBRE"
"Chihuahua",0,1,2,16,7,35,1919,1009,2118,909,1617,2,"2010","HOMBRE"
"Distrito Federal",0,1,3,4,16,85,2817,1920,4085,2269,3131,14,"2010","HOMBRE"
"Durango",0,0,0,0,0,15,628,442,967,405,883,0,"2010","HOMBRE"
"Guanajuato",0,0,2,3,11,45,1572,873,1833,865,1374,0,"2010","HOMBRE"
"Guerrero",0,0,0,3,8,31,1105,693,1555,646,1036,41,"2010","HOMBRE"
"Hidalgo",0,0,1,2,9,24,494,340,801,431,629,0,"2010","HOMBRE"
"Jalisco",1,2,3,8,23,91,2659,1710,3654,1897,3390,34,"2010","HOMBRE"
"México",2,2,9,9,48,213,4796,3281,6768,3530,5022,71,"2010","HOMBRE"
"Michoacán",0,0,6,0,0,31,950,726,1724,1023,1842,16,"2010","HOMBRE"
"Morelos",0,0,1,4,1,23,694,518,1175,629,1119,5,"2010","HOMBRE"
"Nayarit",0,0,0,0,0,11,333,191,462,176,344,3,"2010","HOMBRE"
"Nuevo León",0,2,7,13,17,61,1618,942,1965,983,1451,7,"2010","HOMBRE"
"Oaxaca",0,0,2,2,5,41,1121,703,1387,675,1068,7,"2010","HOMBRE"
"Puebla",0,1,1,3,11,37,1138,856,1940,971,1683,5,"2010","HOMBRE"
"Querétaro",0,0,0,0,1,8,617,316,693,232,432,0,"2010","HOMBRE"
"Quintana Roo",0,1,1,2,2,19,441,221,351,137,170,0,"2010","HOMBRE"
"San Luis Potosí",0,0,0,1,2,37,1116,649,1323,633,1012,0,"2010","HOMBRE"
"Sinaloa",0,0,0,0,8,17,1087,651,1820,817,1323,2,"2010","HOMBRE"
"Sonora",1,0,0,3,4,27,852,516,1219,479,926,3,"2010","HOMBRE"
"Tabasco",0,0,1,3,3,23,858,516,1002,402,511,2,"2010","HOMBRE"
"Tamaulipas",0,4,4,3,8,49,1202,890,1545,997,1399,5,"2010","HOMBRE"
"Tlaxcala",0,0,0,0,2,5,287,192,492,221,475,3,"2010","HOMBRE"
"Veracruz",0,2,0,6,17,49,1848,1153,2785,1272,2132,4,"2010","HOMBRE"
"Yucatán",0,0,0,0,6,17,764,371,974,501,779,4,"2010","HOMBRE"
"Zacatecas",0,0,0,0,0,9,402,245,511,180,398,1,"2010","HOMBRE"
"Aguascalientes",0,0,0,0,0,2,27,15,31,13,27,0,"2011","HOMBRE"
"Baja California",0,0,3,9,40,26,12,33,16,32,7,19,"2011","HOMBRE"
"Baja California Sur",0,0,0,0,2,6,19,4,19,26,14,0,"2011","HOMBRE"
"Campeche",0,0,0,3,6,30,18,5,21,3,15,2,"2011","HOMBRE"
"Coahuila",0,0,2,5,8,16,8,24,7,29,5,7,"2011","HOMBRE"
"Colima",0,0,0,0,2,23,15,3,20,4,16,0,"2011","HOMBRE"
"Chiapas",0,1,0,2,12,24,2,22,10,21,3,3,"2011","HOMBRE"
"Chihuahua",1,5,5,19,27,25,11,32,17,27,11,3,"2011","HOMBRE"
"Distrito Federal",1,0,3,12,21,3,17,8,22,6,19,15,"2011","HOMBRE"
"Durango",0,0,1,1,0,11,30,19,2,17,33,0,"2011","HOMBRE"
"Guanajuato",1,1,0,5,12,26,10,30,13,25,8,2,"2011","HOMBRE"
"Guerrero",3,3,3,13,8,21,7,27,11,22,4,22,"2011","HOMBRE"
"Hidalgo",0,1,2,1,5,20,28,16,33,16,30,0,"2011","HOMBRE"
"Jalisco",0,0,0,7,37,5,16,2,24,2,20,36,"2011","HOMBRE"
"México",7,7,2,23,36,9,23,13,29,12,24,90,"2011","HOMBRE"
"Michoacán",1,2,5,1,7,22,1,20,6,23,10,27,"2011","HOMBRE"
"Morelos",9,17,13,15,28,10,33,29,9,24,1,2,"2011","HOMBRE"
"Nayarit",0,1,0,3,1,12,21,9,25,10,25,1,"2011","HOMBRE"
"Nuevo León",1,13,7,18,26,27,13,31,15,33,9,17,"2011","HOMBRE"
"Oaxaca",0,1,1,1,9,19,5,23,4,18,31,6,"2011","HOMBRE"
"Puebla",0,0,1,3,14,25,3,26,12,28,13,6,"2011","HOMBRE"
"Querétaro",0,0,0,0,1,4,26,12,30,7,21,1,"2011","HOMBRE"
"Quintana Roo",1,0,0,9,5,13,25,6,23,5,17,1,"2011","HOMBRE"
"San Luis Potosí",0,0,0,1,3,18,4,21,5,20,2,0,"2011","HOMBRE"
"Sinaloa",3,2,4,6,9,16,9,25,14,30,12,3,"2011","HOMBRE"
"Sonora",1,4,2,5,8,8,31,18,3,19,32,0,"2011","HOMBRE"
"Tabasco",0,0,0,3,6,15,32,17,1,15,28,6,"2011","HOMBRE"
"Tamaulipas",0,0,1,1,15,28,6,28,8,31,6,9,"2011","HOMBRE"
"Tlaxcala",1,2,3,1,2,17,20,7,26,9,23,0,"2011","HOMBRE"
"Veracruz",2,1,4,2,13,29,14,1,18,1,18,15,"2011","HOMBRE"
"Yucatán",0,0,0,0,0,14,29,14,32,14,29,1,"2011","HOMBRE"
"Zacatecas",0,0,0,0,2,7,24,10,28,11,26,2,"2011","HOMBRE"
"Aguascalientes",0,0,0,0,0,30,26,17,32,20,29,0,"2012","HOMBRE"
"Baja California",0,1,1,11,23,17,10,32,15,33,9,10,"2012","HOMBRE"
"Baja California Sur",0,0,0,0,1,9,20,8,23,7,15,0,"2012","HOMBRE"
"Campeche",0,1,0,3,1,19,16,7,19,30,14,0,"2012","HOMBRE"
"Coahuila",3,0,0,5,5,25,7,2,10,1,6,12,"2012","HOMBRE"
"Colima",0,0,0,0,0,24,15,6,20,8,16,0,"2012","HOMBRE"
"Chiapas",0,1,3,4,16,12,31,21,7,25,2,6,"2012","HOMBRE"
"Chihuahua",1,1,6,5,15,21,11,1,17,32,10,2,"2012","HOMBRE"
"Distrito Federal",0,1,0,10,17,31,13,5,21,6,18,5,"2012","HOMBRE"
"Durango",0,0,0,0,0,3,25,18,33,18,28,0,"2012","HOMBRE"
"Guanajuato",0,0,0,5,13,23,8,29,12,29,7,2,"2012","HOMBRE"
"Guerrero",0,1,2,6,9,14,2,26,9,24,3,11,"2012","HOMBRE"
"Hidalgo",0,0,0,2,6,18,29,19,1,19,30,1,"2012","HOMBRE"
"Jalisco",3,6,3,12,22,2,14,4,22,5,19,35,"2012","HOMBRE"
"México",1,0,1,1,96,7,23,14,29,15,24,65,"2012","HOMBRE"
"Michoacán",0,0,0,0,19,28,32,25,4,27,8,4,"2012","HOMBRE"
"Morelos",0,0,0,7,9,22,28,22,3,26,33,4,"2012","HOMBRE"
"Nayarit",0,0,0,1,3,6,18,9,27,13,26,7,"2012","HOMBRE"
"Nuevo León",0,0,2,5,12,20,9,31,14,31,4,1,"2012","HOMBRE"
"Oaxaca",0,2,4,13,9,15,1,27,8,23,32,66,"2012","HOMBRE"
"Puebla",0,0,1,4,10,13,4,28,13,28,11,5,"2012","HOMBRE"
"Querétaro",0,0,0,0,2,5,27,15,30,14,23,0,"2012","HOMBRE"
"Quintana Roo",0,0,0,1,2,32,21,10,24,9,13,1,"2012","HOMBRE"
"San Luis Potosí",0,0,0,0,2,11,3,24,6,22,1,0,"2012","HOMBRE"
"Sinaloa",0,1,2,4,15,16,5,30,16,3,12,6,"2012","HOMBRE"
"Sonora",1,1,1,3,6,8,33,23,5,21,31,2,"2012","HOMBRE"
"Tabasco",0,1,4,4,9,11,30,20,2,17,27,3,"2012","HOMBRE"
"Tamaulipas",0,0,1,7,13,29,6,33,11,2,5,15,"2012","HOMBRE"
"Tlaxcala",0,1,0,2,0,27,17,11,28,12,22,0,"2012","HOMBRE"
"Veracruz",0,1,0,4,16,26,12,3,18,4,17,17,"2012","HOMBRE"
"Yucatán",1,2,1,10,7,10,24,16,31,16,25,1,"2012","HOMBRE"
"Zacatecas",0,0,0,0,0,4,22,13,26,10,20,4,"2012","HOMBRE"
"Aguascalientes",2,2,2,0,0,3,26,15,31,22,30,0,"2013","HOMBRE"
"Baja California",2,2,2,12,16,22,10,1,15,1,11,6,"2013","HOMBRE"
"Baja California Sur",2,2,2,0,2,25,19,7,19,7,13,0,"2013","HOMBRE"
"Campeche",2,2,2,0,3,17,15,5,17,6,14,0,"2013","HOMBRE"
"Coahuila",2,2,2,3,10,20,3,27,1,25,33,11,"2013","HOMBRE"
"Colima",2,2,2,1,2,25,16,6,18,8,15,4,"2013","HOMBRE"
"Chiapas",2,2,2,2,3,7,32,20,7,24,1,16,"2013","HOMBRE"
"Chihuahua",2,2,2,0,3,14,9,31,13,26,5,1,"2013","HOMBRE"
"Distrito Federal",2,2,2,1,10,24,14,4,22,5,17,20,"2013","HOMBRE"
"Durango",2,2,2,0,0,9,25,16,4,19,28,0,"2013","HOMBRE"
"Guanajuato",2,2,2,7,5,19,8,30,12,28,7,6,"2013","HOMBRE"
"Guerrero",2,2,2,2,7,11,6,29,9,27,3,6,"2013","HOMBRE"
"Hidalgo",2,2,2,2,3,14,28,19,33,18,29,4,"2013","HOMBRE"
"Jalisco",2,2,2,3,4,27,13,3,21,4,19,47,"2013","HOMBRE"
"México",2,2,2,0,54,10,24,14,29,16,24,64,"2013","HOMBRE"
"Michoacán",2,2,2,0,0,13,31,25,8,31,9,8,"2013","HOMBRE"
"Morelos",2,2,2,90,78,18,29,24,6,30,6,16,"2013","HOMBRE"
"Nayarit",2,2,2,0,0,26,17,8,24,13,25,2,"2013","HOMBRE"
"Nuevo León",2,2,2,5,8,21,11,33,14,32,4,2,"2013","HOMBRE"
"Oaxaca",2,2,2,0,0,12,2,22,2,20,32,14,"2013","HOMBRE"
"Puebla",2,2,2,1,12,15,1,26,11,29,8,8,"2013","HOMBRE"
"Querétaro",2,2,2,1,0,4,27,13,28,10,23,0,"2013","HOMBRE"
"Quintana Roo",2,2,2,1,2,5,22,12,23,9,16,0,"2013","HOMBRE"
"San Luis Potosí",2,2,2,0,0,15,4,23,3,21,2,0,"2013","HOMBRE"
"Sinaloa",2,2,2,0,0,16,7,32,16,33,12,0,"2013","HOMBRE"
"Sonora",2,2,2,0,3,8,33,21,5,23,31,2,"2013","HOMBRE"
"Tabasco",2,2,2,2,10,8,30,18,32,17,27,0,"2013","HOMBRE"
"Tamaulipas",2,2,2,4,10,12,5,28,10,2,10,25,"2013","HOMBRE"
"Tlaxcala",2,2,2,0,1,23,18,9,27,14,21,0,"2013","HOMBRE"
"Veracruz",2,2,2,0,11,19,12,2,20,3,18,51,"2013","HOMBRE"
"Yucatán",2,2,2,2,2,6,23,17,30,15,26,12,"2013","HOMBRE"
"Zacatecas",2,2,2,0,0,2,21,11,26,11,20,0,"2013","HOMBRE"
